[Wed Oct 23 09:22:39.468962 2024] [ssl:warn] [pid 21196:tid 344] AH01906: localhost:443:0 server certificate is a CA certificate (BasicConstraints: CA == TRUE !?)
[Wed Oct 23 09:22:39.468962 2024] [ssl:warn] [pid 21196:tid 344] AH01909: localhost:443:0 server certificate does NOT include an ID which matches the server name
[Wed Oct 23 09:22:39.530188 2024] [ssl:warn] [pid 21196:tid 344] AH01906: localhost:443:0 server certificate is a CA certificate (BasicConstraints: CA == TRUE !?)
[Wed Oct 23 09:22:39.530188 2024] [ssl:warn] [pid 21196:tid 344] AH01909: localhost:443:0 server certificate does NOT include an ID which matches the server name
[Wed Oct 23 09:22:40.204129 2024] [ssl:warn] [pid 21772:tid 352] AH01906: localhost:443:0 server certificate is a CA certificate (BasicConstraints: CA == TRUE !?)
[Wed Oct 23 09:22:40.204129 2024] [ssl:warn] [pid 21772:tid 352] AH01909: localhost:443:0 server certificate does NOT include an ID which matches the server name
[Wed Oct 23 09:22:40.258094 2024] [ssl:warn] [pid 21772:tid 352] AH01906: localhost:443:0 server certificate is a CA certificate (BasicConstraints: CA == TRUE !?)
[Wed Oct 23 09:22:40.258094 2024] [ssl:warn] [pid 21772:tid 352] AH01909: localhost:443:0 server certificate does NOT include an ID which matches the server name
[Wed Oct 23 09:22:50.017414 2024] [php:error] [pid 21772:tid 1292] [client ::1:52340] PHP Fatal error:  Cannot redeclare sendMessage() (previously declared in C:\\Users\\ROEURN\\Development\\Projects\\PHP\\Bots\\telegram-bot\\app\\includes\\IncludeCommands.php:28) in C:\\Users\\ROEURN\\Development\\Projects\\PHP\\Bots\\telegram-bot\\app\\includes\\IncludeCommands.php on line 54, referer: https://localhost/
[Wed Oct 23 09:23:18.292265 2024] [php:warn] [pid 21772:tid 1296] [client ::1:52348] PHP Warning:  Undefined array key "contact" in C:\\Users\\ROEURN\\Development\\Projects\\PHP\\Bots\\telegram-bot\\app\\Handlers\\ComandHandlers.php on line 24, referer: https://localhost/app/Handlers/
[Wed Oct 23 09:23:18.292265 2024] [php:warn] [pid 21772:tid 1296] [client ::1:52348] PHP Warning:  Trying to access array offset on null in C:\\Users\\ROEURN\\Development\\Projects\\PHP\\Bots\\telegram-bot\\app\\Handlers\\ComandHandlers.php on line 24, referer: https://localhost/app/Handlers/
[Wed Oct 23 09:23:22.968728 2024] [php:warn] [pid 21772:tid 1296] [client ::1:52348] PHP Warning:  Undefined array key "contact" in C:\\Users\\ROEURN\\Development\\Projects\\PHP\\Bots\\telegram-bot\\app\\Handlers\\ComandHandlers.php on line 24, referer: https://localhost/app/Handlers/
[Wed Oct 23 09:23:22.968728 2024] [php:warn] [pid 21772:tid 1296] [client ::1:52348] PHP Warning:  Trying to access array offset on null in C:\\Users\\ROEURN\\Development\\Projects\\PHP\\Bots\\telegram-bot\\app\\Handlers\\ComandHandlers.php on line 24, referer: https://localhost/app/Handlers/
[Wed Oct 23 09:23:55.525348 2024] [php:warn] [pid 21772:tid 1296] [client ::1:52348] PHP Warning:  Undefined array key "contact" in C:\\Users\\ROEURN\\Development\\Projects\\PHP\\Bots\\telegram-bot\\app\\Handlers\\ComandHandlers.php on line 24, referer: https://localhost/app/Handlers/
[Wed Oct 23 09:23:55.525348 2024] [php:warn] [pid 21772:tid 1296] [client ::1:52348] PHP Warning:  Trying to access array offset on null in C:\\Users\\ROEURN\\Development\\Projects\\PHP\\Bots\\telegram-bot\\app\\Handlers\\ComandHandlers.php on line 24, referer: https://localhost/app/Handlers/
[Wed Oct 23 09:23:58.050725 2024] [php:warn] [pid 21772:tid 1296] [client ::1:52348] PHP Warning:  Undefined array key "currentCommand" in C:\\Users\\ROEURN\\Development\\Projects\\PHP\\Bots\\telegram-bot\\app\\Handlers\\ComandHandlers.php on line 320, referer: https://localhost/app/Handlers/
[Wed Oct 23 09:23:58.050725 2024] [php:warn] [pid 21772:tid 1296] [client ::1:52348] PHP Warning:  Trying to access array offset on null in C:\\Users\\ROEURN\\Development\\Projects\\PHP\\Bots\\telegram-bot\\app\\Handlers\\ComandHandlers.php on line 320, referer: https://localhost/app/Handlers/
[Wed Oct 23 09:23:58.050725 2024] [php:warn] [pid 21772:tid 1296] [client ::1:52348] PHP Warning:  Undefined array key "currentCommand" in C:\\Users\\ROEURN\\Development\\Projects\\PHP\\Bots\\telegram-bot\\app\\Handlers\\ComandHandlers.php on line 355, referer: https://localhost/app/Handlers/
[Wed Oct 23 09:23:58.050725 2024] [php:warn] [pid 21772:tid 1296] [client ::1:52348] PHP Warning:  Trying to access array offset on null in C:\\Users\\ROEURN\\Development\\Projects\\PHP\\Bots\\telegram-bot\\app\\Handlers\\ComandHandlers.php on line 355, referer: https://localhost/app/Handlers/
